"rfmo","lon","lat","year","month","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iccat",-29.5,-54.5,2015,9,0.9,0,19,NA,18,NA,1,NA,0
"iccat",-29.5,-54.5,2015,10,0.9,0,13,NA,12,NA,0,NA,1
"iccat",-19.5,-54.5,1994,2,17.91,4.2,0,0,NA,4.2,NA,0,NA
"iccat",-19.5,-54.5,1994,2,17.91,0,203,NA,0,NA,203,NA,0
"iccat",-14.5,-54.5,1994,2,53.73,15.1,0,0.5,NA,14.2,NA,0.4,NA
"iccat",-14.5,-54.5,1994,2,53.73,0,726,NA,18,NA,694,NA,14
"iccat",-9.5,-54.5,1994,2,71.64,20.1,0,0,NA,19.4,NA,0.7,NA
"iccat",-9.5,-54.5,1994,2,71.64,0,975,NA,0,NA,942,NA,33
"iccat",-9.5,-54.5,1994,3,17.91,3.2,0,0,NA,3.2,NA,0,NA
"iccat",-9.5,-54.5,1994,3,17.91,0,154,NA,0,NA,154,NA,0
"iccat",-4.5,-54.5,1994,2,53.73,13.8,0,0.5,NA,12.8,NA,0.5,NA
"iccat",-4.5,-54.5,1994,2,53.73,0,662,NA,18,NA,620,NA,24
"iccat",-4.5,-54.5,1994,3,17.91,3.8,0,0.1,NA,3.7,NA,0,NA
"iccat",-4.5,-54.5,1994,3,17.91,0,183,NA,4,NA,179,NA,0
"iccat",0.5,-54.5,1994,2,53.73,14,0,0.3,NA,13.4,NA,0.3,NA
"iccat",0.5,-54.5,1994,2,53.73,0,668,NA,9,NA,650,NA,9
"iccat",0.5,-54.5,1994,2,35.82,8,0,0,NA,8,NA,0,NA
"iccat",0.5,-54.5,1994,2,35.82,0,382,NA,0,NA,382,NA,0
"iccat",0.5,-54.5,1994,3,17.91,4.2,0,0,NA,4.2,NA,0,NA
"iccat",0.5,-54.5,1994,3,17.91,0,203,NA,0,NA,203,NA,0
"iccat",0.5,-54.5,1994,3,17.91,4.4,0,0,NA,4,NA,0.4,NA
"iccat",0.5,-54.5,1994,3,17.91,0,208,NA,0,NA,194,NA,14
"iccat",5.5,-54.5,1994,2,53.73,13.9,0,0.5,NA,12.1,NA,1.3,NA
"iccat",5.5,-54.5,1994,2,53.73,0,663,NA,24,NA,581,NA,58
"iccat",5.5,-54.5,1994,3,17.91,4.8,0,0,NA,4.8,NA,0,NA
"iccat",5.5,-54.5,1994,3,17.91,0,233,NA,0,NA,233,NA,0
"iccat",10.5,-54.5,1994,2,89.55,23.3,0,0.1,NA,22.7,NA,0.5,NA
"iccat",10.5,-54.5,1994,2,89.55,0,1157,NA,4,NA,1135,NA,18
"wcpfc",-177.5,-52.5,1970,3,134.366,0.026,2,0,0,0.026,2,0,0
"wcpfc",147.5,-52.5,1968,5,203.912,0.053,4,0,0,0.053,4,0,0
"iccat",-49.5,-49.5,2012,12,1.2,0,3,NA,0,NA,3,NA,0
"iccat",-34.5,-49.5,2015,4,1.2,0,7,NA,5,NA,0,NA,2
"iccat",-29.5,-49.5,2012,1,1.187,0,25,NA,20,NA,2,NA,3
"iccat",-29.5,-49.5,2015,9,0.9,0,16,NA,10,NA,2,NA,4
"iccat",-29.5,-49.5,2015,12,1.35,0,14,NA,6,NA,7,NA,1
"iccat",-19.5,-49.5,1994,2,17.91,4.6,0,0,NA,4.6,NA,0,NA
"iccat",-19.5,-49.5,1994,2,17.91,0,223,NA,0,NA,223,NA,0
"iccat",-14.5,-49.5,1993,10,37.854,7,0,0,NA,7,NA,0,NA
"iccat",-14.5,-49.5,1993,10,37.854,0,368,NA,0,NA,368,NA,0
"iccat",-14.5,-49.5,1994,3,17.91,4.4,0,0,NA,4.4,NA,0,NA
"iccat",-14.5,-49.5,1994,3,17.91,0,213,NA,0,NA,213,NA,0
"iccat",-9.5,-49.5,1993,10,37.854,7.6,0,0,NA,7.6,NA,0,NA
"iccat",-9.5,-49.5,1993,10,37.854,0,399,NA,0,NA,399,NA,0
"iccat",-9.5,-49.5,1994,3,17.91,4.1,0,0,NA,3.9,NA,0.2,NA
