"rfmo","lon","lat","year","effort_set","effort_day","catch_tot","catch_skj","catch_alb","catch_bet","catch_yft"
"wcpfc",148.5,-42.5,1999,17,13.36,64,64,0,0,0
"wcpfc",171.5,-42.5,2014,38,38,2669.3,2669.3,0,0,0
"wcpfc",171.5,-41.5,2012,27,27,1150.6,1150.6,0,0,0
"wcpfc",171.5,-41.5,2014,21,21,1375.5,1375.5,0,0,0
"wcpfc",148.5,-40.5,2000,18,13.54,287,287,0,0,0
"wcpfc",172.5,-40.5,2014,12,12,836,836,0,0,0
"wcpfc",172.5,-40.5,2015,4.17,4.17,101.166,101.166,0,0,0
"wcpfc",177.5,-40.5,1999,7.16,7.16,356.825,356.825,0,0,0
"wcpfc",148.5,-39.5,2000,27,19.67,307.5,307.5,0,0,0
"wcpfc",172.5,-39.5,2005,14.03,14.03,656.567,656.567,0,0,0
"wcpfc",172.5,-39.5,2011,22,22,1176.1,1176.1,0,0,0
"wcpfc",174.5,-39.5,1999,3.07,3.07,105.309,105.309,0,0,0
"wcpfc",174.5,-39.5,2014,4,4,192.5,192.5,0,0,0
"wcpfc",177.5,-39.5,1983,11,7.01,103,103,0,0,0
"wcpfc",177.5,-39.5,1999,8.18,8.18,302.637,302.637,0,0,0
"wcpfc",178.5,-39.5,1996,22.01,22.01,569.997,569.997,0,0,0
"wcpfc",178.5,-39.5,1999,13.29,13.29,257.65,257.65,0,0,0
"wcpfc",148.5,-38.5,1999,52,31.91,1026,1026,0,0,0
"wcpfc",148.5,-38.5,2000,22,16.17,163.9,163.9,0,0,0
"wcpfc",149.5,-38.5,1992,12,9.85,0.3,0,0,0,0.3
"wcpfc",149.5,-38.5,1997,9.93,6.95,136.636,136.636,0,0,0
"wcpfc",149.5,-38.5,2000,11,6.97,231,231,0,0,0
"wcpfc",149.5,-38.5,2001,8.25,5.5,180.033,180.033,0,0,0
"wcpfc",173.5,-38.5,1990,19.01,27.41,434.795,434.795,0,0,0
"wcpfc",174.5,-38.5,2003,41.97,41.97,1260.699,1260.699,0,0,0
"wcpfc",174.5,-38.5,2004,50.53,50.53,3123.129,3123.129,0,0,0
"wcpfc",174.5,-38.5,2005,59.14,59.14,2757.062,2757.062,0,0,0
"wcpfc",174.5,-38.5,2006,72,72,3018.1,3018.1,0,0,0
"wcpfc",174.5,-38.5,2007,40.92,40.92,1624.146,1624.146,0,0,0
"wcpfc",174.5,-38.5,2008,29,29,1247.9,1247.9,0,0,0
"wcpfc",174.5,-38.5,2009,18.1,18.1,520.733,520.733,0,0,0
"wcpfc",174.5,-38.5,2011,84,84,4066.8,4066.8,0,0,0
"wcpfc",174.5,-38.5,2012,41,41,1869,1868.8,0,0,0.2
"wcpfc",174.5,-38.5,2013,43,43,3193.4,3193.4,0,0,0
"wcpfc",174.5,-38.5,2014,10,10,330.6,330.6,0,0,0
"wcpfc",174.5,-38.5,2015,23.99,23.99,817.673,817.673,0,0,0
"wcpfc",174.5,-38.5,2017,15,15,711,711,0,0,0
"wcpfc",175.5,-38.5,2004,28.68,28.68,973.161,973.161,0,0,0
"wcpfc",175.5,-38.5,2006,7,7,201,201,0,0,0
"wcpfc",175.5,-38.5,2008,12,12,302,302,0,0,0
"wcpfc",175.5,-38.5,2011,8,8,430.7,430.7,0,0,0
"wcpfc",175.5,-38.5,2012,11,11,207,207,0,0,0
"wcpfc",175.5,-38.5,2014,22,22,837,837,0,0,0
"wcpfc",175.5,-38.5,2016,5,5,81.5,81.5,0,0,0
"wcpfc",178.5,-38.5,1996,4.4,4.4,88.03,88.03,0,0,0
"wcpfc",179.5,-38.5,1995,9.55,9.55,271.685,271.685,0,0,0
"wcpfc",179.5,-38.5,1996,15.4,15.4,564.495,561.194,0,0,3.301
"wcpfc",179.5,-38.5,2004,16.39,16.39,245.579,245.579,0,0,0
"iccat",-54.5,-37.5,2009,1,0,8,3,0,0,5
"iccat",-54.5,-37.5,2010,23,0,114.05,0.102,113.948,0,0
