"rfmo","flag","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iccat","BRA",-29.5,-54.5,2015,1800,0,32,0,30,0,1,0,1
"iccat","TAI",-19.5,-54.5,1994,35820,4.2,203,0,0,4.2,203,0,0
"iccat","TAI",-14.5,-54.5,1994,107460,15.1,726,0.5,18,14.2,694,0.4,14
"iccat","TAI",-9.5,-54.5,1994,179100,23.3,1129,0,0,22.6,1096,0.7,33
"iccat","TAI",-4.5,-54.5,1994,143280,17.6,845,0.6,22,16.5,799,0.5,24
"iccat","TAI",0.5,-54.5,1994,250740,30.6,1461,0.3,9,29.6,1429,0.7,23
"iccat","TAI",5.5,-54.5,1994,143280,18.7,896,0.5,24,16.9,814,1.3,58
"iccat","TAI",10.5,-54.5,1994,179100,23.3,1157,0.1,4,22.7,1135,0.5,18
"iccat","BRA",-49.5,-49.5,2012,1200,0,3,0,0,0,3,0,0
"iccat","BRA",-34.5,-49.5,2015,1200,0,7,0,5,0,0,0,2
"iccat","BRA",-29.5,-49.5,2012,1187,0,25,0,20,0,2,0,3
"iccat","BRA",-29.5,-49.5,2015,2250,0,30,0,16,0,9,0,5
"iccat","TAI",-19.5,-49.5,1994,35820,4.6,223,0,0,4.6,223,0,0
"iccat","TAI",-14.5,-49.5,1993,75708,7,368,0,0,7,368,0,0
"iccat","TAI",-14.5,-49.5,1994,35820,4.4,213,0,0,4.4,213,0,0
"iccat","TAI",-9.5,-49.5,1993,75708,7.6,399,0,0,7.6,399,0,0
"iccat","TAI",-9.5,-49.5,1994,35820,4.1,193,0,0,3.9,189,0.2,4
"iccat","TAI",-4.5,-49.5,1993,75708,9.1,472,0.5,21,8.4,441,0.2,10
"iccat","TAI",0.5,-49.5,1993,302832,35,1839,0,0,34.2,1797,0.8,42
"iccat","TAI",5.5,-49.5,1993,227124,24.7,1291,0.2,10,23.3,1229,1.2,52
"iattc","KOR",-132.5,-47.5,1998,1.734,0.4,11,0.31,7,0.03,2,0.06,2
"wcpfc","JPN",147.5,-47.5,1966,1654.23,6.326,486,0,0,6.267,484,0.059,2
"wcpfc","JPN",147.5,-47.5,1968,3121.27,10.625,722,1.616,38,9.009,684,0,0
"wcpfc","JPN",147.5,-47.5,1969,2305.574,1.715,116,0,0,1.622,113,0.093,3
"wcpfc","JPN",147.5,-47.5,1970,5981.473,10.716,785,0.753,16,9.842,765,0.121,4
"wcpfc","JPN",147.5,-47.5,1971,5453.594,4.372,301,0,0,4.372,301,0,0
"wcpfc","JPN",147.5,-47.5,1972,3572.891,10.302,703,0,0,10.302,703,0,0
"wcpfc","JPN",147.5,-47.5,1973,3148.587,1.027,77,0,0,1.027,77,0,0
"wcpfc","JPN",147.5,-47.5,1974,3051.477,3.052,245,0,0,3.052,245,0,0
"wcpfc","JPN",147.5,-47.5,1975,1843.472,0.141,9,0,0,0.141,9,0,0
"wcpfc","JPN",147.5,-47.5,1976,2748.634,1.85,119,0,0,1.85,119,0,0
"wcpfc","JPN",147.5,-47.5,1977,2721.301,0.085,6,0,0,0.085,6,0,0
"wcpfc","JPN",147.5,-47.5,1978,3177.557,0.635,45,0,0,0.635,45,0,0
"wcpfc","JPN",147.5,-47.5,1980,3959.816,0.56,47,0,0,0.56,47,0,0
"wcpfc","JPN",147.5,-47.5,1981,3641.8,0.455,36,0,0,0.455,36,0,0
"wcpfc","JPN",147.5,-47.5,1983,2758.3,0.131,8,0,0,0.131,8,0,0
"wcpfc","JPN",147.5,-47.5,1985,1406.9,0.014,1,0,0,0.014,1,0,0
"wcpfc","JPN",167.5,-47.5,1985,2963.6,0.794,55,0,0,0.794,55,0,0
"wcpfc","JPN",167.5,-47.5,1986,3495.9,0.984,68,0,0,0.984,68,0,0
"wcpfc","JPN",167.5,-47.5,1987,3717.1,0.086,6,0,0,0.086,6,0,0
"wcpfc","JPN",167.5,-47.5,1988,2223,0.014,1,0,0,0.014,1,0,0
"wcpfc","JPN",167.5,-47.5,1990,2075.6,3.098,224,0,0,3.098,224,0,0
"wcpfc","JPN",167.5,-47.5,1991,3382.9,1.108,79,0,0,1.108,79,0,0
"wcpfc","JPN",167.5,-47.5,1992,2501.5,1.192,87,0,0,1.192,87,0,0
"wcpfc","JPN",167.5,-47.5,1993,1611,0.089,6,0,0,0.089,6,0,0
"wcpfc","JPN",172.5,-47.5,1969,1890.082,4.91,342,0,0,4.91,342,0,0
"wcpfc","JPN",172.5,-47.5,1970,4492.718,18.499,1688,0,0,18.499,1688,0,0
"wcpfc","JPN",172.5,-47.5,1971,6036.922,54.126,3727,0,0,54.126,3727,0,0
